id,name,age,features,oscars,height,networth,death
1,Robert De Niro,1943,116,2,1.77,300,0
2,Jack Nicholson,1937,77,3,1.77,400,0
3,Tom Hanks,1956,87,2,1.83,350,0
4,Marlon Brando,1924,46,2,1.75,100,2004
5,Leonardo DiCaprio,1974,42,1,1.83,245,0
6,Humphrey Bogart,1899,85,1,1.73,5,1957
7,Johnny Depp,1963,89,0,1.78,200,0
8,Al Pacino,1940,58,1,1.7,165,0
9,Denzel Washington,1954,56,2,1.85,220,0
10,Laurence Olivier,1907,86,1,1.78,20,1989
11,Brad Pitt,1963,80,1,1.8,300,0
12,Daniel Day-Lewis,1957,29,3,1.88,50,0
13,Tom Cruise,1962,46,0,1.7,570,0
14,Cary Grant,1904,77,0,1.87,60,1986
15,Dustin Hoffman,1937,84,2,1.67,50,0
16,Clark Gable,1901,82,1,1.84,100,1960
17,Sean Penn,1960,66,2,1.73,150,0
18,Christian Bale,1974,52,1,1.83,80,0
19,Gregory Peck,1916,60,1,1.89,40,2003
20,Harrison Ford,1942,80,0,1.85,230,0
21,Spencer Tracy,1900,79,2,1.77,50,1967
22,George Clooney,1961,85,2,1.8,500,0
23,Charlton Heston,1923,128,1,1.91,40,2008
24,Anthony Hopkins,1937,133,1,1.74,160,0
25,Russell Crowe,1964,58,1,1.82,95,0
26,Katharine Hepburn,1907,53,4,1.71,30,2003
27,Meryl Streep,1949,83,3,1.68,90,0
28,Ingrid Bergman,1915,55,3,1.75,20,1982
29,Marilyn Monroe,1926,33,1,1.66,10,1962
30,Jennifer Lawrence,1990,31,1,1.75,130,0
31,Kate Winslet,1975,58,1,1.69,45,0
32,Elizabeth Taylor,1932,78,2,1.57,0,2011
33,Cate Blanchett,1969,68,2,1.73,85,0
34,Audrey Hepburn,1929,34,1,1.7,100,1993
35,Helen Mirren,1945,131,1,1.63,50,0
36,Bette Davis,1908,122,2,1.6,2,1989
37,Nicole Kidman,1967,83,1,1.8,130,0
38,Sandra Bullock,1964,57,1,1.71,200,0
39,Natalie Portman,1981,63,1,1.6,60,0
40,Jodie Foster,1962,80,2,1.6,100,0
41,Judi Dench,1934,123,1,1.55,35,0
42,Amy Adams,1974,59,0,1.63,60,0
43,Julia Roberts,1967,61,1,1.73,200,0
44,Emma Thompson,1959,80,2,1.73,50,0
45,Diane Keaton,1946,68,1,1.69,50,0
46,Grace Kelly,1929,31,1,1.69,40,1982
47,Shirley MacLaine,1934,75,1,1.7,50,0
48,Reese Witherspoon,1976,59,1,1.56,150,0
49,Charlize Theron,1975,58,1,1.77,130,0
50,Judy Garland,1922,40,0,1.51,20,1969
